"subid"	"verb"	"noun"	"dir"	"big"	"small"
"367"	"anon-217.json"	"are"	"gnome"	"na"	1	2
"368"	"anon-217.json"	"are"	"hippo"	"na"	0	5
"369"	"anon-217.json"	"are"	"house"	"na"	0	5
"370"	"anon-217.json"	"are"	"monkey"	"na"	0	5
"371"	"anon-217.json"	"are"	"plane"	"na"	0	5
"372"	"anon-217.json"	"are"	"umbrella"	"na"	4	2
"373"	"anon-22.json"	"are"	"baby"	"na"	2	3
"374"	"anon-22.json"	"are"	"balloon"	"na"	2	1
"375"	"anon-22.json"	"are"	"bunny"	"na"	2	2
"376"	"anon-22.json"	"are"	"cake"	"na"	2	3
"377"	"anon-22.json"	"are"	"duckling"	"na"	0	2
"378"	"anon-22.json"	"are"	"elephant"	"na"	2	2
"379"	"anon-22.json"	"are"	"gnome"	"na"	2	2
"380"	"anon-22.json"	"are"	"hippo"	"na"	2	3
"381"	"anon-22.json"	"are"	"house"	"na"	2	2
"382"	"anon-22.json"	"are"	"monkey"	"na"	2	2
"383"	"anon-22.json"	"are"	"plane"	"na"	2	3
"384"	"anon-22.json"	"are"	"umbrella"	"na"	2	2
"385"	"anon-221.json"	"are"	"baby"	"na"	3	4
"386"	"anon-221.json"	"are"	"balloon"	"na"	3	4
"387"	"anon-221.json"	"are"	"bunny"	"na"	3	4
"388"	"anon-221.json"	"are"	"cake"	"na"	2	4
"389"	"anon-221.json"	"are"	"duckling"	"na"	3	NA
"390"	"anon-221.json"	"are"	"elephant"	"na"	3	4
"391"	"anon-221.json"	"are"	"gnome"	"na"	3	4
"392"	"anon-221.json"	"are"	"hippo"	"na"	3	4
"393"	"anon-221.json"	"are"	"house"	"na"	2	4
"394"	"anon-221.json"	"are"	"monkey"	"na"	3	4
"395"	"anon-221.json"	"are"	"plane"	"na"	2	4
"396"	"anon-221.json"	"are"	"umbrella"	"na"	3	4
"397"	"anon-222.json"	"are"	"baby"	"na"	2	3
"398"	"anon-222.json"	"are"	"balloon"	"na"	3	3
"399"	"anon-222.json"	"are"	"bunny"	"na"	2	3
"400"	"anon-222.json"	"are"	"cake"	"na"	2	3
"401"	"anon-222.json"	"are"	"duckling"	"na"	3	3
"402"	"anon-222.json"	"are"	"elephant"	"na"	3	NA
"403"	"anon-222.json"	"are"	"gnome"	"na"	3	3
"404"	"anon-222.json"	"are"	"hippo"	"na"	3	3
"405"	"anon-222.json"	"are"	"house"	"na"	2	3
"406"	"anon-222.json"	"are"	"monkey"	"na"	2	3
"407"	"anon-222.json"	"are"	"plane"	"na"	2	3
"408"	"anon-222.json"	"are"	"umbrella"	"na"	3	3
"409"	"anon-225.json"	"are"	"baby"	"na"	3	3
"410"	"anon-225.json"	"are"	"balloon"	"na"	3	2
"411"	"anon-225.json"	"are"	"bunny"	"na"	3	3
"412"	"anon-225.json"	"are"	"cake"	"na"	3	4
"413"	"anon-225.json"	"are"	"duckling"	"na"	4	4
"414"	"anon-225.json"	"are"	"elephant"	"na"	3	3
"415"	"anon-225.json"	"are"	"gnome"	"na"	3	3
"416"	"anon-225.json"	"are"	"hippo"	"na"	3	3
"417"	"anon-225.json"	"are"	"house"	"na"	3	3
"418"	"anon-225.json"	"are"	"monkey"	"na"	3	3
"419"	"anon-225.json"	"are"	"plane"	"na"	3	3
"420"	"anon-225.json"	"are"	"umbrella"	"na"	3	3
"421"	"anon-226.json"	"are"	"baby"	"na"	3	3
"422"	"anon-226.json"	"are"	"balloon"	"na"	3	3
"423"	"anon-226.json"	"are"	"bunny"	"na"	3	3
"424"	"anon-226.json"	"are"	"cake"	"na"	3	3
"425"	"anon-226.json"	"are"	"duckling"	"na"	3	3
"426"	"anon-226.json"	"are"	"elephant"	"na"	3	3
"427"	"anon-226.json"	"are"	"gnome"	"na"	3	3
"428"	"anon-226.json"	"are"	"hippo"	"na"	4	3
"429"	"anon-226.json"	"are"	"house"	"na"	3	3
"430"	"anon-226.json"	"are"	"monkey"	"na"	3	3
"431"	"anon-226.json"	"are"	"plane"	"na"	4	3
"432"	"anon-226.json"	"are"	"umbrella"	"na"	NA	3
"433"	"anon-228.json"	"are"	"baby"	"na"	3	2
"434"	"anon-228.json"	"are"	"balloon"	"na"	3	2
"435"	"anon-228.json"	"are"	"bunny"	"na"	3	3
"436"	"anon-228.json"	"are"	"cake"	"na"	3	3
"437"	"anon-228.json"	"are"	"duckling"	"na"	3	NA
"438"	"anon-228.json"	"are"	"elephant"	"na"	3	3
"439"	"anon-228.json"	"are"	"gnome"	"na"	3	3
"440"	"anon-228.json"	"are"	"hippo"	"na"	3	3
"441"	"anon-228.json"	"are"	"house"	"na"	2	3
"442"	"anon-228.json"	"are"	"monkey"	"na"	2	2
"443"	"anon-228.json"	"are"	"plane"	"na"	2	2
"444"	"anon-228.json"	"are"	"umbrella"	"na"	3	3
"445"	"anon-237.json"	"are"	"baby"	"na"	2	4
"446"	"anon-237.json"	"are"	"balloon"	"na"	2	3
"447"	"anon-237.json"	"are"	"bunny"	"na"	2	4
"448"	"anon-237.json"	"are"	"cake"	"na"	1	4
"449"	"anon-237.json"	"are"	"duckling"	"na"	4	2
"450"	"anon-237.json"	"are"	"elephant"	"na"	2	3
