"subid"	"verb"	"noun"	"dir"	"big"	"small"
"292"	"anon-162.json"	"are"	"candy"	"na"	3	2
"293"	"anon-162.json"	"are"	"earring"	"na"	4	2
"294"	"anon-162.json"	"are"	"fly"	"na"	4	2
"295"	"anon-162.json"	"are"	"hazelnut"	"na"	3	2
"296"	"anon-162.json"	"are"	"ladybug"	"na"	4	2
"297"	"anon-162.json"	"are"	"pill"	"na"	4	2
"298"	"anon-162.json"	"are"	"pin"	"na"	4	2
"299"	"anon-162.json"	"are"	"seed"	"na"	4	2
"300"	"anon-162.json"	"are"	"tack"	"na"	3	2
"301"	"anon-163.json"	"are"	"ant"	"na"	3	2
"302"	"anon-163.json"	"are"	"bean"	"na"	3	3
"303"	"anon-163.json"	"are"	"blueberry"	"na"	3	2
"304"	"anon-163.json"	"are"	"candy"	"na"	4	3
"305"	"anon-163.json"	"are"	"earring"	"na"	3	3
"306"	"anon-163.json"	"are"	"fly"	"na"	3	2
"307"	"anon-163.json"	"are"	"hazelnut"	"na"	2	3
"308"	"anon-163.json"	"are"	"ladybug"	"na"	3	3
"309"	"anon-163.json"	"are"	"pill"	"na"	2	3
"310"	"anon-163.json"	"are"	"pin"	"na"	3	2
"311"	"anon-163.json"	"are"	"seed"	"na"	4	3
"312"	"anon-163.json"	"are"	"tack"	"na"	3	3
"313"	"anon-165.json"	"are"	"ant"	"na"	4	2
"314"	"anon-165.json"	"are"	"bean"	"na"	4	2
"315"	"anon-165.json"	"are"	"blueberry"	"na"	5	2
"316"	"anon-165.json"	"are"	"candy"	"na"	NA	2
"317"	"anon-165.json"	"are"	"earring"	"na"	4	2
"318"	"anon-165.json"	"are"	"fly"	"na"	4	2
"319"	"anon-165.json"	"are"	"hazelnut"	"na"	4	2
"320"	"anon-165.json"	"are"	"ladybug"	"na"	4	2
"321"	"anon-165.json"	"are"	"pill"	"na"	4	2
"322"	"anon-165.json"	"are"	"pin"	"na"	5	2
"323"	"anon-165.json"	"are"	"seed"	"na"	4	2
"324"	"anon-165.json"	"are"	"tack"	"na"	NA	2
"325"	"anon-167.json"	"are"	"ant"	"na"	3	3
"326"	"anon-167.json"	"are"	"bean"	"na"	3	2
"327"	"anon-167.json"	"are"	"blueberry"	"na"	3	2
"328"	"anon-167.json"	"are"	"candy"	"na"	2	3
"329"	"anon-167.json"	"are"	"earring"	"na"	2	2
"330"	"anon-167.json"	"are"	"fly"	"na"	3	3
"331"	"anon-167.json"	"are"	"hazelnut"	"na"	2	2
"332"	"anon-167.json"	"are"	"ladybug"	"na"	2	2
"333"	"anon-167.json"	"are"	"pill"	"na"	3	2
"334"	"anon-167.json"	"are"	"pin"	"na"	3	2
"335"	"anon-167.json"	"are"	"seed"	"na"	3	2
"336"	"anon-167.json"	"are"	"tack"	"na"	2	2
"337"	"anon-17.json"	"are"	"ant"	"na"	NA	2
"338"	"anon-17.json"	"are"	"bean"	"na"	3	2
"339"	"anon-17.json"	"are"	"blueberry"	"na"	3	2
"340"	"anon-17.json"	"are"	"candy"	"na"	3	2
"341"	"anon-17.json"	"are"	"earring"	"na"	4	2
"342"	"anon-17.json"	"are"	"fly"	"na"	3	2
"343"	"anon-17.json"	"are"	"hazelnut"	"na"	3	2
"344"	"anon-17.json"	"are"	"ladybug"	"na"	3	3
"345"	"anon-17.json"	"are"	"pill"	"na"	3	3
